Sector,Description
11,Agriculture_forestry_fishing_hunting
21,Mining_quarrying_oil_gas
22,Utilities
23,Construction
31,Manufacturing
32,Manufacturing
33,Manufacturing
42,Wholesale_trade
44,Retail_trade
45,Retail_trade
48,Transportation_warehousing
49,Transportation_warehousing
51,Information
52,Finance_insurance
53,Real_estate_rental_leasing
54,Professional_scientific_technical_services
55,Management_of_companies_enterprises
56,Administrative_support_waste_management_remediation_services
61,Educational_services
62,Health_care_social_assistance
71,Arts_entertainment_recreation
72,Accommodation_food_services
81,Other_services
92,Public_administration
0,NA
